﻿Date;Champ;Nomenclature;Code NAF;Libellé NAF;Type de données;Nombre d'emplois vacants;Taux d'emplois vacants (en %)
2003-T2;Plus de 10 salariés;A21;D;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné (section D de la Naf);Brutes;33;0.02
2003-T2;Plus de 10 salariés;A21;J;Information et communication (section J de la Naf);Brutes;1989;0.32
2003-T2;Plus de 10 salariés;A21;K;Activités financières et d'assurance (section K de la Naf);Brutes;4597;0.75
2003-T2;Plus de 10 salariés;A21;R;Arts, spectacles et activités récréatives (section R de la Naf);Brutes;917;0.6
2003-T2;Plus de 10 salariés;A21;S;Autres activités de services (section S de la Naf);Brutes;1329;0.48
2003-T3;Plus de 10 salariés;A21;D;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné (section D de la Naf);Brutes;28;0.02
2003-T3;Plus de 10 salariés;A21;Q;Santé humaine et action sociale (section Q de la Naf);Brutes;13268;1.11
2003-T4;Plus de 10 salariés;A21;E;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution (section E de la Naf)";Brutes;225;0.18
2003-T4;Plus de 10 salariés;A21;H;Transports et entreposage (section H de la Naf);Brutes;3934;0.31
2003-T4;Plus de 10 salariés;A21;K;Activités financières et d'assurance (section K de la Naf);Brutes;1287;0.21
2003-T4;Plus de 10 salariés;A21;N;Activités de services administratifs et de soutien (section N de la Naf);Brutes;2635;0.29
2003-T4;Plus de 10 salariés;A21;Q;Santé humaine et action sociale (section Q de la Naf);Brutes;12067;1.0
2003-T4;Plus de 10 salariés;A21;S;Autres activités de services (section S de la Naf);Brutes;1390;0.5
2004-T1;Plus de 10 salariés;A21;C;Industrie manufacturière (section C de la Naf);Brutes;7844;0.25
2004-T1;Plus de 10 salariés;A21;E;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution (section E de la Naf)";Brutes;222;0.18
2004-T1;Plus de 10 salariés;A21;G;"Commerce ; réparation d'automobiles et de motocycles (section G de la Naf)";Brutes;7934;0.35
2004-T1;Plus de 10 salariés;A21;K;Activités financières et d'assurance (section K de la Naf);Brutes;1242;0.21
2004-T1;Plus de 10 salariés;A21;P;Enseignement (section P de la Naf);Brutes;2312;0.91
2004-T2;Plus de 10 salariés;A21;F;Construction (section F de la Naf);Brutes;9104;1.02
2004-T2;Plus de 10 salariés;A21;G;"Commerce ; réparation d'automobiles et de motocycles (section G de la Naf)";Brutes;7535;0.33
